Title,"I have 5 Weed-Eater Attachments. A Chain Saw attachment by Craftsman $50.00.  A Weed-Whip attachment by Pouland $35.00.  A Hedge Trimmer attachment bu Craftsman 40.00.  A Edger attachment by Poulan $50.00. if you want to buy everything listed I will take $150.00.  Call me at 
 show contact info"
Body,Weed-Eater Attachments - $35 (brighton)
Title,I have never been to a NFL game and am broke. my idea is trading great herb for 2-4 playoff tickets. if anyone is interested shoot me a text to make a offer. thanks
Body,looking for bronco playoff tickets in exchange for great weed (denver)
Title,"Selling a good running Troy Bilt weed eater, missing the head."
Body,Troy Bilt gas weed eater - $20 (Fort Lupton)
Title,"this is a great working vape, nothing wrong with it at all. It has new pieces but a missing mouth piece for the hose. Also comes with the fitted case. This is at least 120 dollars new, I'm asking for half Of that because I'm nice"
Body,Da Buddha weed Vaporizer (good condition) - $60
Title,Brand new. Used once. Priced cheap.
Body,brand new weed eater - $70 (Fort lupton)
Title,"This weed wacker is in great shape, since newly done tune up it is amazing and hate to get ride of. I do also have extra line for it and it is really easy to change."
Body,4 CYCLE CRAFTSMAN WEED WACKER (NEW FUEL LINES AND SPARK PLUG) - $75 (LAKEWOOD)
Title,"Any stores retail stores that sells Marijuana (weed) in Denver if anyone knows please let me know the stores and locations, I'll be in Denver in a couple months coming from New York from a small vacation, and looking to purchase some. Please let me know."
Body,Denver retail Weed store (New york)
Title,"2 Brand New Acco Weed Tire Chains for light trucks, SUVs & large passenger cards for sale.  Selling the set of 2 chains for $20.  The box is old but the chains themselves are brand new.  The chains measure:  14 inches WIDE by 72 inches LONG.  The chains are case hardened for longer wear.  Lever lock fasteners  make for easier installation.  Convenient central Denver location near I-25 exit.  Please email if interested.  Thanks!"
Body,Brand New Acco Weed Tire Chains for Light Trucks & SUVs - GREAT Deal - $20 (Central Denver)
Title,"PURPOSE We want to reach everyone.The deepest part of L.E.T.S Clothing's goal is to spread the message of hope, love and joy that we have found to anyone who is willing to hear it. If one thing that we release on our site or through our merchandise shows you a deeper love, passion or hope that you haven't found elsewhere than we've accomplished something what we've set out to do!

All of our T-shirts are 100% quality cotton. we offer a variety of sizes and colors. Our ladies and men's fitted tees are a soft ringspun cotton

Visit our website and place your order @ http://www.letshirts.com
Follow us on twitter and instagram @LET_SHIRTS
Also contact C.E.O Marcus Ruffin @ 
 show contact info

Wholesale and Custom print availabe!!!"
Body,www.letshirts.com exclusive Weed t shirts and more for sell - $18 (nationwide)
Title,"Works great about 20 mins a battery with great power! Comes with 2 battery and a charger. Adjustable height,. Great for edging too"
Body,cordless Black and Decker weed wacker - $100
Title,"Black & Decker CST1000 Cordless Electric String Trimmer and Edger
Works great ... we gave up lawn care
Includes wall charging unit 
Easy to use...and almost fun
Automatic line feeder

Cash only - great deal on a great tool
Thanks for looking

 trimmer, whacker, weed eater, trimmer, edger, lawn, garden, yard care"
Body,weed trimmer edger cordless electric - $12 (Littleton)
Title,"JUST DID MAINTENANCE TO THE UNIT / HAS NO ISSUES / CALL JEFF 
 show contact info"
Body,WALK BEHIND WEED TRIMMER - $375 (EVERGREEN)
Title,"iolite Portable Vaporizer (Black) - near new in box with 2 cans Vector Butane refill fluid, and weed grinder/crusher.

Includes: 
iolite Portable Handheld Vaporizer Unit (used but clean) - flameless, cordless, requires no battery
Carrying Case
Cleaning Devices & Maintenance tools - never used
Standard and Extendable Mouthpiece (2 total)
Vaporizer Instruction Manual & Original Box
2 cans Vector Butane Fluid (retail $8 each)
Weed Crusher (originally purchased for $15)

Specs:
Blend Chamber - 500mg
Butane Tank - .122 fluid oz.
Length - 4.25 inches
Width - 1 inch
Wattage - 125
Weight - 2.8 oz.  

Vaporizer originally purchased for $199. Selling everything for $100, OBO. Cash Only. Check out our other smoke friendly listings by phone 
 show contact info


Can meet Downtown or Wash Park."
Body,"iolite Portable Vaporizer w/ 2 Vector butane refil cans & weed grinder - $100 (Downtown, Wash Park)"
Title,Very good cond.
Body,Weed eater - $65 (Brighton)
